"AllTengwar","OOtehtaShift","UUtehtaShift","EEtehtaShift","DownEEtehtaShift","DblUnderStrokeShift","AtehtaShift","DownAtehtaShift","YtehtaShift","DownYtehtaShift","ItehtaShift","DownItehtaShift","EtehtaShift","DownEtehtaShift","OtehtaShift","UtehtaShift","ThinnasShift","DotinsideShift","UnderbarShift","InvAtehtaShift","OverbarShift","EngYtehtaShift","RevEtehtaShift","YantatehtaShift","Underliners","UptehtaCliche"
"tinco","ootehta.norm22","uutehta.norm19","eetehta.norm20","downeetehta.norm15","dblunderstroke.norm18","atehta.norm20","downatehta.norm18","ytehta.norm20","downytehta.narrow18","itehta.norm20","downitehta.norm19","etehta.norm20","downetehta.narrow17","otehta.wide26","utehta.norm19","thinnas.norm18","dotinside.norm19","underbar.norm20","invatehta.norm20","overbar.norm20","engytehta.norm20","revetehta.norm20","yantatehta.norm20","uline0","uptehtacliche_tinco"
"tinco.conr","ootehta.norm22","uutehta.norm19","eetehta.norm20","downeetehta.norm15","dblunderstroke.norm18","atehta.norm20","downatehta.norm18","ytehta.norm20","downytehta.narrow18","itehta.norm20","downitehta.norm19","etehta.norm20","downetehta.narrow17","otehta.wide26","utehta.norm19","thinnas.norm18","dotinside.norm19","underbar.norm20","invatehta.norm20","overbar.norm20","engytehta.norm20","revetehta.norm20","yantatehta.norm20","uline0","uptehtacliche_tinco"
"tinco.conl","ootehta.norm22","uutehta.norm19","eetehta.norm20","downeetehta.norm15","dblunderstroke.norm18","atehta.norm20","downatehta.norm18","ytehta.norm20","downytehta.narrow18","itehta.norm20","downitehta.norm19","etehta.norm20","downetehta.narrow17","otehta.wide26","utehta.norm19","thinnas.norm18","dotinside.norm19","underbar.norm20","invatehta.norm20","overbar.norm20","engytehta.norm20","revetehta.norm20","yantatehta.norm20","uline0","uptehtacliche_tinco"
"tinco.conb","ootehta.norm22","uutehta.norm19","eetehta.norm20","downeetehta.norm15","dblunderstroke.norm18","atehta.norm20","downatehta.norm18","ytehta.norm20","downytehta.narrow18","itehta.norm20","downitehta.norm19","etehta.norm20","downetehta.narrow17","otehta.wide26","utehta.norm19","thinnas.norm18","dotinside.norm19","underbar.norm20","invatehta.norm20","overbar.norm20","engytehta.norm20","revetehta.norm20","yantatehta.norm20","uline0","uptehtacliche_tinco"
"ando","ootehta.wide29","uutehta.norm29","eetehta.norm30","downeetehta.norm28","dblunderstroke.norm28","atehta.norm29","downatehta.norm28","ytehta.norm29","downytehta.norm28","itehta.norm29","downitehta.norm28","etehta.norm29","downetehta.norm27","otehta.wide29","utehta.norm29","thinnas.norm30","dotinside","underbar.wide29","invatehta.norm30","overbar.wide30","engytehta.wide30","revetehta.norm30","yantatehta.norm30","uline1","uptehtacliche_ando"
"ando.conr","ootehta.wide29","uutehta.norm29","eetehta.norm30","downeetehta.norm28","dblunderstroke.norm28","atehta.norm29","downatehta.norm28","ytehta.norm29","downytehta.norm28","itehta.norm29","downitehta.norm28","etehta.norm29","downetehta.norm27","otehta.wide29","utehta.norm29","thinnas.norm30","dotinside","underbar.wide29","invatehta.norm30","overbar.wide30","engytehta.wide30","revetehta.norm30","yantatehta.norm30","uline1","uptehtacliche_ando"
"ando.conl","ootehta.wide29","uutehta.norm29","eetehta.norm30","downeetehta.norm28","dblunderstroke.norm28","atehta.norm29","downatehta.norm28","ytehta.norm29","downytehta.norm28","itehta.norm29","downitehta.norm28","etehta.norm29","downetehta.norm27","otehta.wide29","utehta.norm29","thinnas.norm30","dotinside","underbar.wide29","invatehta.norm30","overbar.wide30","engytehta.wide30","revetehta.norm30","yantatehta.norm30","uline1","uptehtacliche_ando"
"ando.conb","ootehta.wide29","uutehta.norm29","eetehta.norm30","downeetehta.norm28","dblunderstroke.norm28","atehta.norm29","downatehta.norm28","ytehta.norm29","downytehta.norm28","itehta.norm29","downitehta.norm28","etehta.norm29","downetehta.norm27","otehta.wide29","utehta.norm29","thinnas.norm30","dotinside","underbar.wide29","invatehta.norm30","overbar.wide30","engytehta.wide30","revetehta.norm30","yantatehta.norm30","uline1","uptehtacliche_ando"
"thuule","ootehta.norm20","uutehta.norm17","eetehta.norm17","downeetehta.norm22","dblunderstroke.norm22","atehta.norm17","downatehta.norm22","ytehta.narrow17","downytehta.norm22","itehta.norm19","downitehta.norm22","etehta.norm18","downetehta.norm20","otehta.wide23","utehta.norm17","thinnas.norm22","dotinside.norm19","underbar.norm23","invatehta.norm17","overbar.norm20","engytehta.norm17","revetehta.norm17","yantatehta.norm17","uline2","uptehtacliche_thuule"
"thuule.conr","ootehta.norm20","uutehta.norm17","eetehta.norm17","downeetehta.norm22","dblunderstroke.norm22","atehta.norm17","downatehta.norm22","ytehta.narrow17","downytehta.norm22","itehta.norm19","downitehta.norm22","etehta.norm18","downetehta.norm20","otehta.wide23","utehta.norm17","thinnas.norm22","dotinside.norm19","underbar.norm23","invatehta.norm17","overbar.norm20","engytehta.norm17","revetehta.norm17","yantatehta.norm17","uline2","uptehtacliche_thuule"
"anto","ootehta.wide29","uutehta.norm29","eetehta.norm29","downeetehta.norm31","dblunderstroke.norm31","atehta.norm28","downatehta.norm31","ytehta.norm28","downytehta.norm31","itehta.norm28","downitehta.norm31","etehta.norm28","downetehta.norm29","otehta.wide29","utehta.norm29","thinnas.norm32","dotinside","underbar.wide32","invatehta.norm29","overbar.wide30","engytehta.wide29","revetehta.norm29","yantatehta.norm29","uline3","uptehtacliche_ungwe"
"anto.conr","ootehta.wide29","uutehta.norm29","eetehta.norm29","downeetehta.norm31","dblunderstroke.norm31","atehta.norm28","downatehta.norm31","ytehta.norm28","downytehta.norm31","itehta.norm28","downitehta.norm31","etehta.norm28","downetehta.norm29","otehta.wide29","utehta.norm29","thinnas.norm32","dotinside","underbar.wide32","invatehta.norm29","overbar.wide30","engytehta.wide29","revetehta.norm29","yantatehta.norm29","uline3","uptehtacliche_ungwe"
"oore","ootehta.norm22","uutehta.norm19","eetehta.norm20","downeetehta.norm22","dblunderstroke.norm22","atehta.norm20","downatehta.norm22","ytehta.norm20","downytehta.norm22","itehta.norm20","downitehta.norm22","etehta.norm20","downetehta.norm20","otehta.wide26","utehta.norm19","thinnas.norm22","dotinside.norm19","underbar.norm23","invatehta.norm20","overbar.norm20","engytehta.norm20","revetehta.norm20","yantatehta.norm20","uline4","uptehtacliche_tinco"
"oore.conr","ootehta.norm22","uutehta.norm19","eetehta.norm20","downeetehta.norm22","dblunderstroke.norm22","atehta.norm20","downatehta.norm22","ytehta.norm20","downytehta.norm22","itehta.norm20","downitehta.norm22","etehta.norm20","downetehta.norm20","otehta.wide26","utehta.norm19","thinnas.norm22","dotinside.norm19","underbar.norm23","invatehta.norm20","overbar.norm20","engytehta.norm20","revetehta.norm20","yantatehta.norm20","uline4","uptehtacliche_tinco"
"oore.conl","ootehta.norm22","uutehta.norm19","eetehta.norm20","downeetehta.norm22","dblunderstroke.norm22","atehta.norm20","downatehta.norm22","ytehta.norm20","downytehta.norm22","itehta.norm20","downitehta.norm22","etehta.norm20","downetehta.norm20","otehta.wide26","utehta.norm19","thinnas.norm22","dotinside.norm19","underbar.norm23","invatehta.norm20","overbar.norm20","engytehta.norm20","revetehta.norm20","yantatehta.norm20","uline4","uptehtacliche_tinco"
"oore.conb","ootehta.norm22","uutehta.norm19","eetehta.norm20","downeetehta.norm22","dblunderstroke.norm22","atehta.norm20","downatehta.norm22","ytehta.norm20","downytehta.norm22","itehta.norm20","downitehta.norm22","etehta.norm20","downetehta.norm20","otehta.wide26","utehta.norm19","thinnas.norm22","dotinside.norm19","underbar.norm23","invatehta.norm20","overbar.norm20","engytehta.norm20","revetehta.norm20","yantatehta.norm20","uline4","uptehtacliche_tinco"
"nuumen","ootehta.wide29","uutehta.norm29","eetehta.norm30","downeetehta.norm31","dblunderstroke.norm31","atehta.norm29","downatehta.norm31","ytehta.norm29","downytehta.norm31","itehta.norm29","downitehta.norm31","etehta.norm29","downetehta.norm29","otehta.wide29","utehta.norm29","thinnas.norm32","dotinside","underbar.wide32","invatehta.norm30","overbar.wide30","engytehta.wide30","revetehta.norm30","yantatehta.norm30","uline5","uptehtacliche_ando"
"nuumen.conr","ootehta.wide29","uutehta.norm29","eetehta.norm30","downeetehta.norm31","dblunderstroke.norm31","atehta.norm29","downatehta.norm31","ytehta.norm29","downytehta.norm31","itehta.norm29","downitehta.norm31","etehta.norm29","downetehta.norm29","otehta.wide29","utehta.norm29","thinnas.norm32","dotinside","underbar.wide32","invatehta.norm30","overbar.wide30","engytehta.wide30","revetehta.norm30","yantatehta.norm30","uline5","uptehtacliche_ando"
"nuumen.conl","ootehta.wide29","uutehta.norm29","eetehta.norm30","downeetehta.norm31","dblunderstroke.norm31","atehta.norm29","downatehta.norm31","ytehta.norm29","downytehta.norm31","itehta.norm29","downitehta.norm31","etehta.norm29","downetehta.norm29","otehta.wide29","utehta.norm29","thinnas.norm32","dotinside","underbar.wide32","invatehta.norm30","overbar.wide30","engytehta.wide30","revetehta.norm30","yantatehta.norm30","uline5","uptehtacliche_ando"
"nuumen.conb","ootehta.wide29","uutehta.norm29","eetehta.norm30","downeetehta.norm31","dblunderstroke.norm31","atehta.norm29","downatehta.norm31","ytehta.norm29","downytehta.norm31","itehta.norm29","downitehta.norm31","etehta.norm29","downetehta.norm29","otehta.wide29","utehta.norm29","thinnas.norm32","dotinside","underbar.wide32","invatehta.norm30","overbar.wide30","engytehta.wide30","revetehta.norm30","yantatehta.norm30","uline5","uptehtacliche_ando"
"extthuule","ootehta.norm20","uutehta.norm17","eetehta.norm17","downeetehta.norm15","dblunderstroke.norm18","atehta.norm17","downatehta.norm18","ytehta.narrow17","downytehta.narrow18","itehta.norm19","downitehta.norm19","etehta.norm18","downetehta.narrow17","otehta.wide23","utehta.norm17","thinnas.norm18","dotinside.norm19","underbar.norm20","invatehta.norm17","overbar.norm20","engytehta.norm17","revetehta.norm17","yantatehta.norm17","uline6","uptehtacliche_thuule"
"extthuule.conr","ootehta.norm20","uutehta.norm17","eetehta.norm17","downeetehta.norm15","dblunderstroke.norm18","atehta.norm17","downatehta.norm18","ytehta.narrow17","downytehta.narrow18","itehta.norm19","downitehta.norm19","etehta.norm18","downetehta.narrow17","otehta.wide23","utehta.norm17","thinnas.norm18","dotinside.norm19","underbar.norm20","invatehta.norm17","overbar.norm20","engytehta.norm17","revetehta.norm17","yantatehta.norm17","uline6","uptehtacliche_thuule"
"extanto","ootehta.wide29","uutehta.norm29","eetehta.norm29","downeetehta.norm28","dblunderstroke.norm28","atehta.norm28","downatehta.norm28","ytehta.norm28","downytehta.norm28","itehta.norm28","downitehta.norm28","etehta.norm28","downetehta.norm27","otehta.wide29","utehta.norm29","thinnas.norm30","dotinside","underbar.wide29","invatehta.norm29","overbar.wide30","engytehta.wide29","revetehta.norm29","yantatehta.norm29","uline7","uptehtacliche_ungwe"
"extanto.conr","ootehta.wide29","uutehta.norm29","eetehta.norm29","downeetehta.norm28","dblunderstroke.norm28","atehta.norm28","downatehta.norm28","ytehta.norm28","downytehta.norm28","itehta.norm28","downitehta.norm28","etehta.norm28","downetehta.norm27","otehta.wide29","utehta.norm29","thinnas.norm30","dotinside","underbar.wide29","invatehta.norm29","overbar.wide30","engytehta.wide29","revetehta.norm29","yantatehta.norm29","uline7","uptehtacliche_ungwe"
"parma","ootehta.norm22","uutehta.norm19","eetehta.norm20","downeetehta.norm15","dblunderstroke.norm18","atehta.norm20","downatehta.norm18","ytehta.norm20","downytehta.narrow18","itehta.norm20","downitehta.norm19","etehta.norm20","downetehta.narrow17","otehta.wide26","utehta.norm19","thinnas.norm18","dotinside.cond20","underbar.norm20","invatehta.norm20","overbar.norm20","engytehta.norm20","revetehta.norm20","yantatehta.norm20","uline0","uptehtacliche_tinco"
"parma.conr","ootehta.norm22","uutehta.norm19","eetehta.norm20","downeetehta.norm15","dblunderstroke.norm18","atehta.norm20","downatehta.norm18","ytehta.norm20","downytehta.narrow18","itehta.norm20","downitehta.norm19","etehta.norm20","downetehta.narrow17","otehta.wide26","utehta.norm19","thinnas.norm18","dotinside.cond20","underbar.norm20","invatehta.norm20","overbar.norm20","engytehta.norm20","revetehta.norm20","yantatehta.norm20","uline0","uptehtacliche_tinco"
"parma.conl","ootehta.norm22","uutehta.norm19","eetehta.norm20","downeetehta.norm15","dblunderstroke.norm18","atehta.norm20","downatehta.norm18","ytehta.norm20","downytehta.narrow18","itehta.norm20","downitehta.norm19","etehta.norm20","downetehta.narrow17","otehta.wide26","utehta.norm19","thinnas.norm18","dotinside.cond20","underbar.norm20","invatehta.norm20","overbar.norm20","engytehta.norm20","revetehta.norm20","yantatehta.norm20","uline0","uptehtacliche_tinco"
"parma.conb","ootehta.norm22","uutehta.norm19","eetehta.norm20","downeetehta.norm15","dblunderstroke.norm18","atehta.norm20","downatehta.norm18","ytehta.norm20","downytehta.narrow18","itehta.norm20","downitehta.norm19","etehta.norm20","downetehta.narrow17","otehta.wide26","utehta.norm19","thinnas.norm18","dotinside.cond20","underbar.norm20","invatehta.norm20","overbar.norm20","engytehta.norm20","revetehta.norm20","yantatehta.norm20","uline0","uptehtacliche_tinco"
"umbar","ootehta.wide29","uutehta.norm29","eetehta.norm30","downeetehta.norm28","dblunderstroke.norm28","atehta.norm29","downatehta.norm28","ytehta.norm29","downytehta.norm28","itehta.norm29","downitehta.norm28","etehta.norm29","downetehta.norm27","otehta.wide29","utehta.norm29","thinnas.norm30","dotinside","underbar.wide29","invatehta.norm30","overbar.wide30","engytehta.wide30","revetehta.norm30","yantatehta.norm30","uline1","uptehtacliche_ando"
"umbar.conr","ootehta.wide29","uutehta.norm29","eetehta.norm30","downeetehta.norm28","dblunderstroke.norm28","atehta.norm29","downatehta.norm28","ytehta.norm29","downytehta.norm28","itehta.norm29","downitehta.norm28","etehta.norm29","downetehta.norm27","otehta.wide29","utehta.norm29","thinnas.norm30","dotinside","underbar.wide29","invatehta.norm30","overbar.wide30","engytehta.wide30","revetehta.norm30","yantatehta.norm30","uline1","uptehtacliche_ando"
"umbar.conl","ootehta.wide29","uutehta.norm29","eetehta.norm30","downeetehta.norm28","dblunderstroke.norm28","atehta.norm29","downatehta.norm28","ytehta.norm29","downytehta.norm28","itehta.norm29","downitehta.norm28","etehta.norm29","downetehta.norm27","otehta.wide29","utehta.norm29","thinnas.norm30","dotinside","underbar.wide29","invatehta.norm30","overbar.wide30","engytehta.wide30","revetehta.norm30","yantatehta.norm30","uline1","uptehtacliche_ando"
"umbar.conb","ootehta.wide29","uutehta.norm29","eetehta.norm30","downeetehta.norm28","dblunderstroke.norm28","atehta.norm29","downatehta.norm28","ytehta.norm29","downytehta.norm28","itehta.norm29","downitehta.norm28","etehta.norm29","downetehta.norm27","otehta.wide29","utehta.norm29","thinnas.norm30","dotinside","underbar.wide29","invatehta.norm30","overbar.wide30","engytehta.wide30","revetehta.norm30","yantatehta.norm30","uline1","uptehtacliche_ando"
"formen","ootehta.norm20","uutehta.norm17","eetehta.norm17","downeetehta.norm21","dblunderstroke.norm21","atehta.norm17","downatehta.norm21","ytehta.narrow17","downytehta.norm21","itehta.norm19","downitehta.norm21","etehta.norm18","downetehta.norm20","otehta.wide23","utehta.norm17","thinnas.norm21","dotinside.cond20","underbar.norm23","invatehta.norm17","overbar.norm20","engytehta.norm17","revetehta.norm17","yantatehta.norm17","uline2","uptehtacliche_thuule"
"formen.conr","ootehta.norm20","uutehta.norm17","eetehta.norm17","downeetehta.norm21","dblunderstroke.norm21","atehta.norm17","downatehta.norm21","ytehta.narrow17","downytehta.norm21","itehta.norm19","downitehta.norm21","etehta.norm18","downetehta.norm20","otehta.wide23","utehta.norm17","thinnas.norm21","dotinside.cond20","underbar.norm23","invatehta.norm17","overbar.norm20","engytehta.norm17","revetehta.norm17","yantatehta.norm17","uline2","uptehtacliche_thuule"
"ampa","ootehta.wide29","uutehta.norm29","eetehta.norm29","downeetehta.norm31","dblunderstroke.norm31","atehta.norm28","downatehta.norm31","ytehta.norm28","downytehta.norm31","itehta.norm28","downitehta.norm31","etehta.norm28","downetehta.norm29","otehta.wide29","utehta.norm29","thinnas.norm32","dotinside","underbar.wide32","invatehta.norm29","overbar.wide30","engytehta.wide29","revetehta.norm29","yantatehta.norm29","uline3","uptehtacliche_ungwe"
"ampa.conr","ootehta.wide29","uutehta.norm29","eetehta.norm29","downeetehta.norm31","dblunderstroke.norm31","atehta.norm28","downatehta.norm31","ytehta.norm28","downytehta.norm31","itehta.norm28","downitehta.norm31","etehta.norm28","downetehta.norm29","otehta.wide29","utehta.norm29","thinnas.norm32","dotinside","underbar.wide32","invatehta.norm29","overbar.wide30","engytehta.wide29","revetehta.norm29","yantatehta.norm29","uline3","uptehtacliche_ungwe"
"vala","ootehta.norm22","uutehta.norm19","eetehta.norm20","downeetehta.norm21","dblunderstroke.norm21","atehta.norm20","downatehta.norm21","ytehta.norm20","downytehta.norm21","itehta.norm20","downitehta.norm21","etehta.norm20","downetehta.norm20","otehta.wide26","utehta.norm19","thinnas.norm21","dotinside.cond20","underbar.norm23","invatehta.norm20","overbar.norm20","engytehta.norm20","revetehta.norm20","yantatehta.norm20","uline4","uptehtacliche_tinco"
"vala.conr","ootehta.norm22","uutehta.norm19","eetehta.norm20","downeetehta.norm21","dblunderstroke.norm21","atehta.norm20","downatehta.norm21","ytehta.norm20","downytehta.norm21","itehta.norm20","downitehta.norm21","etehta.norm20","downetehta.norm20","otehta.wide26","utehta.norm19","thinnas.norm21","dotinside.cond20","underbar.norm23","invatehta.norm20","overbar.norm20","engytehta.norm20","revetehta.norm20","yantatehta.norm20","uline4","uptehtacliche_tinco"
"vala.conl","ootehta.norm22","uutehta.norm19","eetehta.norm20","downeetehta.norm21","dblunderstroke.norm21","atehta.norm20","downatehta.norm21","ytehta.norm20","downytehta.norm21","itehta.norm20","downitehta.norm21","etehta.norm20","downetehta.norm20","otehta.wide26","utehta.norm19","thinnas.norm21","dotinside.cond20","underbar.norm23","invatehta.norm20","overbar.norm20","engytehta.norm20","revetehta.norm20","yantatehta.norm20","uline4","uptehtacliche_tinco"
"vala.conb","ootehta.norm22","uutehta.norm19","eetehta.norm20","downeetehta.norm21","dblunderstroke.norm21","atehta.norm20","downatehta.norm21","ytehta.norm20","downytehta.norm21","itehta.norm20","downitehta.norm21","etehta.norm20","downetehta.norm20","otehta.wide26","utehta.norm19","thinnas.norm21","dotinside.cond20","underbar.norm23","invatehta.norm20","overbar.norm20","engytehta.norm20","revetehta.norm20","yantatehta.norm20","uline4","uptehtacliche_tinco"
"malta","ootehta.wide29","uutehta.norm29","eetehta.norm30","downeetehta.norm31","dblunderstroke.norm31","atehta.norm29","downatehta.norm31","ytehta.norm29","downytehta.norm31","itehta.norm29","downitehta.norm31","etehta.norm29","downetehta.norm29","otehta.wide29","utehta.norm29","thinnas.norm31","dotinside","underbar.wide32","invatehta.norm30","overbar.wide30","engytehta.wide30","revetehta.norm30","yantatehta.norm30","uline5","uptehtacliche_ando"
"malta.conr","ootehta.wide29","uutehta.norm29","eetehta.norm30","downeetehta.norm31","dblunderstroke.norm31","atehta.norm29","downatehta.norm31","ytehta.norm29","downytehta.norm31","itehta.norm29","downitehta.norm31","etehta.norm29","downetehta.norm29","otehta.wide29","utehta.norm29","thinnas.norm31","dotinside","underbar.wide32","invatehta.norm30","overbar.wide30","engytehta.wide30","revetehta.norm30","yantatehta.norm30","uline5","uptehtacliche_ando"
"malta.conl","ootehta.wide29","uutehta.norm29","eetehta.norm30","downeetehta.norm31","dblunderstroke.norm31","atehta.norm29","downatehta.norm31","ytehta.norm29","downytehta.norm31","itehta.norm29","downitehta.norm31","etehta.norm29","downetehta.norm29","otehta.wide29","utehta.norm29","thinnas.norm31","dotinside","underbar.wide32","invatehta.norm30","overbar.wide30","engytehta.wide30","revetehta.norm30","yantatehta.norm30","uline5","uptehtacliche_ando"
"malta.conb","ootehta.wide29","uutehta.norm29","eetehta.norm30","downeetehta.norm31","dblunderstroke.norm31","atehta.norm29","downatehta.norm31","ytehta.norm29","downytehta.norm31","itehta.norm29","downitehta.norm31","etehta.norm29","downetehta.norm29","otehta.wide29","utehta.norm29","thinnas.norm31","dotinside","underbar.wide32","invatehta.norm30","overbar.wide30","engytehta.wide30","revetehta.norm30","yantatehta.norm30","uline5","uptehtacliche_ando"
"extformen","ootehta.norm20","uutehta.norm17","eetehta.norm17","downeetehta.norm15","dblunderstroke.norm18","atehta.norm17","downatehta.norm18","ytehta.narrow17","downytehta.narrow18","itehta.norm19","downitehta.norm19","etehta.norm18","downetehta.narrow17","otehta.wide23","utehta.norm17","thinnas.norm19","dotinside.cond20","underbar.norm20","invatehta.norm17","overbar.norm20","engytehta.norm17","revetehta.norm17","yantatehta.norm17","uline6","uptehtacliche_thuule"
"extformen.conr","ootehta.norm20","uutehta.norm17","eetehta.norm17","downeetehta.norm15","dblunderstroke.norm18","atehta.norm17","downatehta.norm18","ytehta.narrow17","downytehta.narrow18","itehta.norm19","downitehta.norm19","etehta.norm18","downetehta.narrow17","otehta.wide23","utehta.norm17","thinnas.norm19","dotinside.cond20","underbar.norm20","invatehta.norm17","overbar.norm20","engytehta.norm17","revetehta.norm17","yantatehta.norm17","uline6","uptehtacliche_thuule"
"extampa","ootehta.wide29","uutehta.norm29","eetehta.norm29","downeetehta.norm28","dblunderstroke.norm28","atehta.norm28","downatehta.norm28","ytehta.norm28","downytehta.norm28","itehta.norm28","downitehta.norm28","etehta.norm28","downetehta.norm27","otehta.wide29","utehta.norm29","thinnas.norm29","dotinside","underbar.wide29","invatehta.norm29","overbar.wide30","engytehta.wide29","revetehta.norm29","yantatehta.norm29","uline7","uptehtacliche_ungwe"
"extampa.conr","ootehta.wide29","uutehta.norm29","eetehta.norm29","downeetehta.norm28","dblunderstroke.norm28","atehta.norm28","downatehta.norm28","ytehta.norm28","downytehta.norm28","itehta.norm28","downitehta.norm28","etehta.norm28","downetehta.norm27","otehta.wide29","utehta.norm29","thinnas.norm29","dotinside","underbar.wide29","invatehta.norm29","overbar.wide30","engytehta.wide29","revetehta.norm29","yantatehta.norm29","uline7","uptehtacliche_ungwe"
"calma","ootehta.norm18","uutehta.norm19","eetehta.norm20","downeetehta.norm23","dblunderstroke.norm23","atehta.norm19","downatehta.norm23","ytehta.norm19","downytehta.narrow23","itehta.norm19","downitehta.norm22","etehta.norm18","downetehta.norm20","otehta.norm18","utehta.norm19","thinnas.norm22","dotinside.norm21","underbar.norm21","invatehta.norm20","overbar.norm18","engytehta.norm20","revetehta.norm20","yantatehta.norm20","uline22","uptehtacliche_tinco"
"calma.conr","ootehta.norm18","uutehta.norm19","eetehta.norm20","downeetehta.norm23","dblunderstroke.norm23","atehta.norm19","downatehta.norm23","ytehta.norm19","downytehta.narrow23","itehta.norm19","downitehta.norm22","etehta.norm18","downetehta.norm20","otehta.norm18","utehta.norm19","thinnas.norm22","dotinside.norm21","underbar.norm21","invatehta.norm20","overbar.norm18","engytehta.norm20","revetehta.norm20","yantatehta.norm20","uline22","uptehtacliche_tinco"
"anga","ootehta.wide29","uutehta.norm29","eetehta.norm30","downeetehta.norm33","dblunderstroke.norm33","atehta.norm29","downatehta.norm33","ytehta.norm29","downytehta.norm33","itehta.norm29","downitehta.norm33","etehta.norm28","downetehta.norm29","otehta.wide36","utehta.norm29","thinnas.norm32","dotinside","underbar.wide31","invatehta.norm30","overbar.wide27","engytehta.wide30","revetehta.norm30","yantatehta.norm30","uline23","uptehtacliche_ando"
"anga.conr","ootehta.wide29","uutehta.norm29","eetehta.norm30","downeetehta.norm33","dblunderstroke.norm33","atehta.norm29","downatehta.norm33","ytehta.norm29","downytehta.norm33","itehta.norm29","downitehta.norm33","etehta.norm28","downetehta.norm29","otehta.wide36","utehta.norm29","thinnas.norm32","dotinside","underbar.wide31","invatehta.norm30","overbar.wide27","engytehta.wide30","revetehta.norm30","yantatehta.norm30","uline23","uptehtacliche_ando"
"harma","ootehta.narrow27","uutehta.narrow25","eetehta.norm25","downeetehta.norm21","dblunderstroke.norm21","atehta.norm23","downatehta.norm21","ytehta.narrow23","downytehta.norm21","itehta.norm23","downitehta.norm21","etehta.narrow25","downetehta.norm18","otehta.narrow27","utehta.narrow25","thinnas.norm21","dotinside.norm21","underbar.norm21","invatehta.norm23","overbar.norm21","engytehta.norm23","revetehta.norm23","yantatehta.norm23","uline2","uptehtacliche_harma"
"harma.conr","ootehta.narrow27","uutehta.narrow25","eetehta.norm25","downeetehta.norm21","dblunderstroke.norm21","atehta.norm23","downatehta.norm21","ytehta.narrow23","downytehta.norm21","itehta.norm23","downitehta.norm21","etehta.narrow25","downetehta.norm18","otehta.narrow27","utehta.narrow25","thinnas.norm21","dotinside.norm21","underbar.norm21","invatehta.norm23","overbar.norm21","engytehta.norm23","revetehta.norm23","yantatehta.norm23","uline2","uptehtacliche_harma"
"anca","ootehta.norm39","uutehta.norm31","eetehta.norm32","downeetehta.norm31","dblunderstroke.norm31","atehta.norm31","downatehta.norm31","ytehta.norm31","downytehta.norm31","itehta.norm31","downitehta.norm31","etehta.norm32","downetehta.norm29","otehta.wide36","utehta.norm31","thinnas.norm31","dotinside","underbar.wide31","invatehta.norm32","overbar.wide32","engytehta.wide32","revetehta.norm32","yantatehta.norm32","uline3","uptehtacliche_anca"
"anca.conr","ootehta.norm39","uutehta.norm31","eetehta.norm32","downeetehta.norm31","dblunderstroke.norm31","atehta.norm31","downatehta.norm31","ytehta.norm31","downytehta.norm31","itehta.norm31","downitehta.norm31","etehta.norm32","downetehta.norm29","otehta.wide36","utehta.norm31","thinnas.norm31","dotinside","underbar.wide31","invatehta.norm32","overbar.wide32","engytehta.wide32","revetehta.norm32","yantatehta.norm32","uline3","uptehtacliche_anca"
"anna","ootehta.norm18","uutehta.norm19","eetehta.norm20","downeetehta.norm20","dblunderstroke.norm20","atehta.norm19","downatehta.norm20","ytehta.norm19","downytehta.norm20","itehta.norm19","downitehta.norm20","etehta.norm18","downetehta.norm18","otehta.norm18","utehta.norm19","thinnas.norm20","dotinside.norm21","underbar.norm21","invatehta.norm20","overbar.norm18","engytehta.norm20","revetehta.norm20","yantatehta.norm20","uline2","uptehtacliche_tinco"
"anna.conr","ootehta.norm18","uutehta.norm19","eetehta.norm20","downeetehta.norm20","dblunderstroke.norm20","atehta.norm19","downatehta.norm20","ytehta.norm19","downytehta.norm20","itehta.norm19","downitehta.norm20","etehta.norm18","downetehta.norm18","otehta.norm18","utehta.norm19","thinnas.norm20","dotinside.norm21","underbar.norm21","invatehta.norm20","overbar.norm18","engytehta.norm20","revetehta.norm20","yantatehta.norm20","uline2","uptehtacliche_tinco"
"anna.conrbot","ootehta.norm18","uutehta.norm19","eetehta.norm20","downeetehta.norm20","dblunderstroke.norm20","atehta.norm19","downatehta.norm20","ytehta.norm19","downytehta.norm20","itehta.norm19","downitehta.norm20","etehta.norm18","downetehta.norm18","otehta.norm18","utehta.norm19","thinnas.norm20","dotinside.norm21","underbar.norm21","invatehta.norm20","overbar.norm18","engytehta.norm20","revetehta.norm20","yantatehta.norm20","uline2","uptehtacliche_tinco"
"noldo","ootehta.wide29","uutehta.norm29","eetehta.norm30","downeetehta.norm29","dblunderstroke.norm29","atehta.norm29","downatehta.norm29","ytehta.norm29","downytehta.norm29","itehta.norm29","downitehta.norm29","etehta.norm28","downetehta.norm29","otehta.wide36","utehta.norm29","thinnas.norm29","dotinside","underbar.wide31","invatehta.norm30","overbar.wide27","engytehta.wide30","revetehta.norm30","yantatehta.norm30","uline3","uptehtacliche_ando"
