"AllTengwar","OOtehtaShift","UUtehtaShift","EEtehtaShift","DownEEtehtaShift","DblUnderStrokeShift","AtehtaShift","DownAtehtaShift","YtehtaShift","DownYtehtaShift","ItehtaShift","DownItehtaShift","EtehtaShift","DownEtehtaShift","OtehtaShift","UtehtaShift","ThinnasShift","DotinsideShift","UnderbarShift","InvAtehtaShift","OverbarShift","EngYtehtaShift","RevEtehtaShift","YantatehtaShift","Underliners","UptehtaCliche"
"extthuule.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm19","dotinside.norm19","underbar.norm","invatehta.norm14","overbar.norm","engytehta.norm14","revetehta.norm14","yantatehta.norm14","uline65","uptehtacliche_ateng"
"extformen.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm19","dotinside.cond20","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline65","uptehtacliche_norm"
"ando.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm32","dotinside","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline66","uptehtacliche_norm"
"extanto.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm31","dotinside","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline66","uptehtacliche_norm"
"ampa.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm34","dotinside","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline68","uptehtacliche_norm"
"malta.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm34","dotinside","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline68","uptehtacliche_norm"
"thuule.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm23","dotinside.norm21","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline67","uptehtacliche_norm"
"oore.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm24","dotinside.norm19","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline67","uptehtacliche_norm"
"formen.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm24","dotinside.cond24","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline67","uptehtacliche_norm"
"vala.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm26","dotinside.cond24","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline67","uptehtacliche_norm"
